Subject,Category,ID,Question,Option1,Option2,Option3,Option4,Answer,KnowledgeTag,Explanation,KeywordTag
[丙級學科題庫] 烘焙食品,工作項目 01：產品分類,11,蛋糕依麵糊性質和膨大方法的不同可分為？,二大類,三大類,四大類,五大類,2,蛋糕分類,蛋糕就像我們班的小組一樣，主要分成三大家族：麵糊類、乳沫類、戚風類。,蛋糕分類
[丙級學科題庫] 烘焙食品,工作項目 01：產品分類,12,長崎蛋糕屬於？,麵糊類蛋糕,乳沫類蛋糕,戚風類蛋糕,重奶油蛋糕,2,蛋糕分類,長崎蛋糕是靠打發蛋的泡泡來撐起身體的，所以屬於乳沫類大家族。,長崎蛋糕
[丙級學科題庫] 烘焙食品,工作項目 01：產品分類,13,配方中採用液體油脂可製作下列何種蛋糕？,水果蛋糕,重奶油蛋糕,海綿蛋糕,輕奶油蛋糕,3,原料選用,海綿蛋糕可以使用液態油（像沙拉油）來做，吃起來清爽不油膩。,海綿蛋糕
[丙級學科題庫] 烘焙食品,工作項目 01：產品分類,14,下列何種產品配方中使用酵母，以利產品之膨脹？,鬆餅,酥鬆性小西餅,綠豆椪,丹麥式甜麵包,4,發酵原理,丹麥麵包需要酵母這個小魔法師幫忙吐氣，麵包才會澎澎的很好吃。,酵母
[丙級學科題庫] 烘焙食品,工作項目 01：產品分類,15,配方中採用高筋麵粉，比較適合製作下列何種產品？,擠出小西餅,魔鬼蛋糕,法國麵包,天使蛋糕,3,原料選用,法國麵包需要很有嚼勁，所以要選用最有筋力的高筋麵粉。,法國麵包
[丙級學科題庫] 烘焙食品,工作項目 01：產品分類,16,歐美俗稱的磅蛋糕（pound cake）是屬於？,戚風類蛋糕,麵糊類蛋糕,乳沫類蛋糕,天使蛋糕,2,蛋糕分類,磅蛋糕放了很多奶油攪拌成像泥巴一樣的麵糊，所以它是麵糊類蛋糕。,磅蛋糕
[丙級學科題庫] 烘焙食品,工作項目 01：產品分類,17,下列何種產品之麵糰是屬於發酵性麵糰？,奶油小西餅,蛋黃酥,廣式月餅,美式甜麵包,4,發酵原理,甜麵包的麵團要放進溫暖的地方「睡覺」發酵，身體才會長大變軟。,發酵麵糰
[丙級學科題庫] 烘焙食品,工作項目 01：產品分類,18,下列何種產品之麵糰，其配方中糖油含量最低？,蘇打餅乾,口糧餅乾,戚風蛋糕,海綿蛋糕,1,原料比例,蘇打餅乾吃起來乾乾脆脆的，它是所有點心裡糖和油放得最少的。,蘇打餅乾
[丙級學科題庫] 烘焙食品,工作項目 01：產品分類,19,下列何種產品，其麵糊須經加熱熬煮？,廣式月餅,太陽餅,天使蛋糕,奶油空心餅,4,烹調技巧,奶油空心餅（泡芙）的皮要先在火上煮過，烤的時候中間才會空空的。,奶油空心餅
[丙級學科題庫] 烘焙食品,工作項目 01：產品分類,20,下列何種產品，以烘焙百分比而言，其配方中用蛋量超過100％？,麵包,鬆餅,中點,蛋糕,4,原料比例,蛋糕用了超級多的蛋寶寶，蛋的重量甚至比麵粉還要重呢！,蛋糕用蛋量
[丙級學科題庫] 烘焙食品,工作項目 01：產品分類,21,下列何種產品，不需經烤焙過程？,法國麵包,戚風蛋糕,奶油空心餅,開口笑,4,烹調方式,開口笑是用熱油炸到裂開的，不像其他點心要住進烤箱裡。,開口笑
[丙級學科題庫] 烘焙食品,工作項目 01：產品分類,22,奶油雞蛋布丁派是屬於？,生派皮生派餡,熟派皮熟派餡,雙皮派,油炸派,1,派類分類,這種派是把生的皮和生的內餡一起送進烤箱，所以叫生派皮生派餡。,布丁派
[丙級學科題庫] 烘焙食品,工作項目 01：產品分類,23,牛肉派是屬於？,生派皮生派餡,熟派皮熟派餡,雙皮派,油炸派,3,派類分類,牛肉派上下都有皮蓋著，就像穿了上衣和長褲，所以叫雙皮派。,牛肉派
[丙級學科題庫] 烘焙食品,工作項目 01：產品分類,24,餅乾麵糰在攪拌終了階段不須產生麵筋的產品是？,輥輪推壓小西餅,硬質餅乾,蘇打餅乾,瑪莉餅乾,1,攪拌原理,做這種小西餅時手力要輕，不需要揉出力氣（麵筋），餅乾才會酥脆。,小西餅
[丙級學科題庫] 烘焙食品,工作項目 01：產品分類,25,餅乾麵糰在壓延成型時須考慮收縮比的產品為？,煎餅,蘇打餅乾,乳沫類小西餅,線切成型小西餅,2,烘焙原理,蘇打餅乾烤完會稍微縮小一點點，就像洗完衣服可能會變短一樣。,蘇打餅乾
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,26,依照製作方法，乳沫類小西餅是以下列何者方式成型？,塊狀成型,擠出成型,線切成型,推壓成型,2,製作方法,乳沫類麵糊軟軟的，要像擠奶油花一樣，把麵糊從袋子裡擠出來喔！,小西餅
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,27,以麵粉與油脂調製烘焙層次分明之酥鬆性產品是？,小西餅,脆餅,煎餅,鬆餅、派、起酥,4,產品分類,像起酥麵包或派皮那樣一層一層酥酥的感覺，就是用麵粉和油疊出來的。,鬆餅
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,28,小西餅配方中糖的用量比油多、油的用量比水多，麵糰較乾硬，須擀平或用模型壓出的產品是？,軟性小西餅,酥硬性小西餅,鬆酥性小西餅,脆硬性小西餅,4,產品特性,這種餅乾因為糖很多、水很少，所以變得很硬，要用模型壓出形狀。,脆硬性餅乾
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,29,下列何者不適合用直接法攪拌？,海綿小西餅,奶油小西餅,瑪琍餅乾,調味餅乾,1,攪拌方式,海綿類要把蛋打發，不能像其他餅乾一樣全部材料直接丟進去攪拌。,海綿餅乾
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,30,台灣素食分類分為五大類，下列哪一類不是在素食分類？,奶素,蛋奶素,五辛素,鍋邊素,4,生活常識,鍋邊素是大家一起吃飯時比較方便的說法，但不是正式的五種素食標籤。,素食分類
[丙級學科題庫] 烘焙食品,工作項目02：原料之選用,1,下列材料中，甜度最低的是？,果糖,砂糖,麥芽糖,乳糖,4,原料特性,牛奶裡的乳糖其實沒什麼甜味，是這些糖裡面最不甜的一個。,糖類甜度
[丙級學科題庫] 烘焙食品,工作項目02：原料之選用,2,台灣目前使用的白油，每桶重量約為？,5 公斤,10 公斤,16 公斤,30 公斤,3,原料規格,這是在烘焙室搬油時的小常識，一桶白油大約是 16 公斤重。,白油重量
[丙級學科題庫] 烘焙食品,工作項目02：原料之選用,3,奶粉的重量2.2磅相當於公制單位的？,半公斤,1 公斤,1.5 公斤,4.4 公斤,2,單位換算,2.2 磅大約就是我們常說的 1 公斤，要記住這個重量的感覺喔。,單位換算
[丙級學科題庫] 烘焙食品,工作項目02：原料之選用,4,一般天使蛋糕的主要原料為？,太白粉,蛋白,乳酪,鮮奶油,2,原料應用,天使蛋糕白白的、輕飄飄的，就是因為它只用蛋白來做，沒加蛋黃。,天使蛋糕
[丙級學科題庫] 烘焙食品,工作項目02：原料之選用,5,派皮用的麵粉應以哪種麵粉為宜？,低筋粉,中筋粉,高筋粉,太白粉,2,麵粉特性,做酥酥的派皮要用中筋麵粉，吃起來口感才會剛剛好。,派皮麵粉
[丙級學科題庫] 烘焙食品,工作項目02：原料之選用,6,塔塔粉是屬？,中性鹽,酸性鹽,鹼性鹽,低鹼性鹽,2,化學特性,塔塔粉是酸性的，加在蛋白裡可以幫助蛋白打得更穩、更漂亮。,塔塔粉
[丙級學科題庫] 烘焙食品,工作項目02：原料之選用,7,不需要使用酵母的烘焙產品是？,包子,饅頭,麵包,重奶油蛋糕,4,產品分類,蛋糕是靠打發或者是發粉變大的，不需要像麵包一樣放酵母慢慢等。,酵母應用
[丙級學科題庫] 烘焙食品,工作項目02：原料之選用,8,蛋黃中含量最多的成分？,水,油脂,蛋白質,灰分,1,原料成分,雖然蛋黃有很多油脂，但其實它裡面最多的成分還是水分。,蛋黃成分
[丙級學科題庫] 烘焙食品,工作項目02：原料之選用,9,蛋白成分除了水以外含量最多的是？,油脂,葡萄糖,灰分,蛋白質,4,原料成分,蛋白除了水，最主要就是能讓我們長力氣的蛋白質了。,蛋白成分
[丙級學科題庫] 烘焙食品,工作項目02：原料之選用,10,一般最適合於麵包製作的水是？,軟水,蒸餾水,鹼水,中硬度水,4,原料選擇,做麵包要用「中硬度」的水，裡面的礦物質能幫麵糰變得很結實。,麵包用水
[丙級學科題庫] 烘焙食品,工作項目02：原料之選用,11,麵包配方中糖含量（依烘焙百分比）佔20％以上的是？,土司麵包,法國麵包,甜麵包,全麥麵包,3,產品特性,糖放得很多（超過20%）的麵包，就是吃起來甜甜的甜麵包。,甜麵包
[丙級學科題庫] 烘焙食品,工作項目02：原料之選用,12,一般以中種法製作麵包，中種麵糰的原料不含？,鹽,酵母,麵粉,水,1,製作程序,在中種麵糰裡先不要放鹽，這樣才不會影響酵母寶寶長大。,中種法
[丙級學科題庫] 烘焙食品,工作項目02：原料之選用,13,以下哪一種原料不屬於化學膨大劑？,發粉,小蘇打,酵母,阿摩尼亞（碳酸氫銨）,3,原料分類,酵母是一種活的小生物，不是工廠做出的化學粉末喔。,膨大劑
[丙級學科題庫] 烘焙食品,工作項目02：原料之選用,14,無水奶油是來自於下列哪種原料？,牛肉,豬肉,牛奶,植物油,3,原料來源,無水奶油就是從牛奶裡面把水份去掉，變成的純純奶油脂肪。,無水奶油
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,15,油脂麵粉與水先煮沸糊化之產品是？,油條,奶油空心餅,甜麵包,小西餅,2,烘焙原理,奶油空心餅就是泡芙，製作時要把水和麵粉煮得黏黏的，像漿糊一樣才會成功喔。,泡芙
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,16,下列烘焙用原料較不常使用的是？,新鮮奶油,全脂奶粉,脫脂奶粉,煉乳,4,烘焙材料,做麵包蛋糕通常加奶粉或奶油比較香，甜甜濃濃的煉乳反而比較少用到。,煉乳
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,17,下列哪種油脂約含有10％的氣體（氮氣）？,清香油,瑪琪琳,雪白乳化油,奶油,3,烘焙材料,雪白乳化油裡面藏了很多空氣小泡泡，可以讓做出來的餅乾更鬆軟。,乳化油
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,18,沒有分析檢驗的情況下，下列何者不是由外觀判斷油炸油的劣化？,顏色加深,黏度增加,有蟹泡並提前冒煙,酸價為1.0,4,食品安全,油壞掉時會變黑、變稠或冒煙，至於「酸價」是用眼睛看不出來的數字喔。,油炸油
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,19,麵包配方中何種材料添加愈多發酵愈快？,油脂,蛋黃,酵母,細砂糖,3,烘焙原理,酵母就像是讓麵包長大的小超人，超人越多，麵包就發得越快喔。,酵母
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,20,國產麵粉每袋的重量以何種最多？,22 磅,30 磅,22 公斤,30 公斤,3,烘焙材料,我們在台灣買的一大袋麵粉，通常最重就是 22 公斤重喔。,麵粉
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,21,海綿蛋糕配方主要原料為？,細砂糖、麵粉、鹽、牛奶,麵粉、沙拉油、水,麵粉、細砂糖、發粉,麵粉、細砂糖、蛋,4,製作程序,海綿蛋糕就是要很多蛋才能打出澎鬆感，加上麵粉和糖就變好吃了。,蛋糕材料
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,22,下列何種材料可提高小西餅產品的脆性？,鹽,水,糖,蛋,3,烘焙原理,糖可以讓餅乾變得脆脆的，咬下去會有「喀滋」的聲音喔。,糖
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,23,若用快速酵母粉取代新鮮酵母時，快速酵母粉的用量應為新鮮酵母的？,等量,1/3,1/2,2 倍,2,烘焙材料,快速酵母力氣很大，只要用一點點（新鮮酵母的三分之一）就能讓麵包長大。,酵母
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,24,製作某種麵包，使用新鮮酵母4％，今因某種原因需改用快速即發酵母粉，用量應為？,4％,2％,1.6％,1.33％,4,配方計算,因為快速酵母只要新鮮酵母的 1/3，所以 4 除以 3 大約就是 1.33 喔。,酵母用量
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,25,配方內使用60％鮮奶製作麵包，比用4％的脫脂奶粉作麵包，其實際奶粉固形量？,較少,相同,較多,大同小異,3,配方計算,鮮奶裡面有很多營養固體，用大量的鮮奶做麵包，營養會比只加一點點奶粉多。,鮮奶
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,26,下列何種原料不是製作奶油布丁派餡之凝凍原料？,蛋,動物膠,玉米澱粉,奶油水,4,烘焙材料,布丁要成型得靠蛋或澱粉來凝固，奶油水只是流動的液體，沒辦法讓布丁變硬喔。,布丁
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,27,蛋白在烘焙原料中屬於哪一種性質？,柔性原料,韌性原料,酸性原料,中性原料,2,烘焙原理,蛋白烤過會變硬有彈性，就像蓋房子的鋼筋，能把蛋糕支撐得穩穩的。,蛋白
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,28,蛋白的含水量為？,50％,75％,88％,95％,3,烘焙材料,蛋白大部分都是水組成的，大約有接近九成（88%）都是水喔。,蛋白水分
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,29,巧克力融化加熱方式，最好使用？,直火加熱,隔水加熱,烤爐加熱,自然融化,2,製作程序,巧克力很怕熱，要像幫它洗熱水澡一樣「隔水加熱」，才不會燒焦喔。,巧克力
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,30,蛋黃成分中所含的油脂具有？,乳化作用,起泡作用,安定作用,膨大作用,1,烘焙原理,蛋黃就像超強膠水，可以把原本不合的水和油手牽手黏在一起，這叫「乳化」。,蛋黃
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,31,製作蛋糕時，奶粉應屬於？,柔性材料,鹼性材料,韌性材料,芳香材料,3,烘焙原理,奶粉會吸水讓蛋糕組織變紮實，在烘焙中被歸類為可以支撐結構的「韌性材料」。,奶粉
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,32,奶水中含固形物（奶粉）量為？,4％,8％,12％,16％,3,烘焙材料,一杯牛奶裡面大約有 12% 是真正的營養固體，其他大部分是水。,奶粉含量
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,33,做蘇打餅乾應注意油脂的？,安定性好、不易酸敗,打發性好,乳化效果好,可塑性好,1,烘焙材料,蘇打餅乾要放比較久，所以油一定要選不容易壞掉變臭的才行。,油脂
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,34,蒸發奶水含固形物為？,40％,35％,30％,26％,4,烘焙材料,蒸發奶水就是把水份抽走一點的牛奶，它的營養固體大約佔 26%。,奶水
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,35,麵包配方使用2％的細砂糖如將糖量增加至4％，則發酵時間會？,縮短很多,縮短很少,延長,不變,4,烘焙原理,只增加一點點糖（2%到4%），對麵包發酵的速度其實沒什麼差別喔。,發酵時間
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,36,麵包配方中正常用糖量如從5％增加為10％，則烤好後的麵包最明顯的不同是？,表皮顏色變淺,表皮變薄而軟,表皮顏色加深,表皮變粗糙,3,烘焙原理,糖加越多，烤出來的麵包皮就像曬過太陽一樣，顏色會變得比較深喔。,顏色變化
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,37,做麵包時配方中油脂量高，可使麵包表皮？,顏色深,厚,柔軟,硬,3,烘焙原理,油脂就像乳液一樣，加多一點可以讓麵包的表皮摸起來軟綿綿的。,柔軟度
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,38,蛋黃之水分含量為？,30～34％,35～39％,40～44％,50～55％,4,烘焙材料,蛋黃雖然稠稠的，但有一半（大約 50%）其實都是水份喔。,蛋黃水分
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,39,一般奶油或瑪琪琳含水量約為？,6～10％,11～13％,14～22％,24～30％,3,烘焙材料,我們用的奶油裡不全是油，還有大約 14% 到 22% 的水在裡面。,奶油水分
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,40,乳化劑在蛋糕中的功能是？,使蛋糕風味佳,使蛋糕顏色加深,融和配方內水和油使組織細膩,縮短攪拌時間減少人工,3,烘焙原理,乳化劑是水和油的好朋友，讓它們融合成細細的質地，蛋糕吃起來才順口。,乳化劑
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,41,麵粉中添加活性麵筋粉每增加1％時，則麵粉之吸水量約可提高？,1％,1.5％,2％,2.5％,2,烘焙材料,麵筋粉很會喝水，每加 1% 就要多準備 1.5% 的水給它喝。,吸水量
[丙級學科題庫] 烘焙食品,工作項目 01：烘焙食品,42,新鮮酵母（compressed yeast）水分含量約為？,45～50％,55～60％,65～70％,80～85％,3,烘焙材料,新鮮酵母摸起來濕濕軟軟的，因為它裡面有一大半（約 70%）都是水。,新鮮酵母
[丙級學科題庫] 烘焙食品,工作項目 06：食品之貯存,1,下列原料何者不宜保存在常溫乾燥區（20℃，65％RH）？,麵粉,砂糖,奶油,巧克力,3,低溫貯存,奶油放在室溫會融化變質，一定要住在冰箱的冷藏室裡才舒服喔！,奶油保存
[丙級學科題庫] 烘焙食品,工作項目 06：食品之貯存,2,提高食品保存性之原理何者為誤？,酸度提高,滲透壓增高,水分降低,酸度降低,4,食品科學,想要東西放得久，酸度要「提高」才對（像酸菜一樣），酸度降低反而會讓細菌高興地跑出來喔！,保存原理
[丙級學科題庫] 烘焙食品,工作項目 06：食品之貯存,3,食品貯存時溫度會影響品質所以？,應保存在50℃以上高溫,應保存在37℃之溫度,應低溫保存,不必考慮溫度變化,3,食品保存,溫度越高，細菌就長得越快！所以為了讓食物新鮮，低溫保存是最棒的方法。,溫度影響
[丙級學科題庫] 烘焙食品,工作項目 06：食品之貯存,4,生鮮奇異果應？,放在地上,低溫冷藏,曝曬在太陽下,冷凍貯存,2,冷藏技術,奇異果就像小寶寶一樣怕熱，買回來要趕快放進冷藏冰箱，才能保持甜美。,水果保存
[丙級學科題庫] 烘焙食品,工作項目 06：食品之貯存,5,雞蛋布丁餡,煮時應加多量防腐劑,煮好應冷藏貯存,煮好應保持在50℃以上,加工時用手抓,2,熟食存放,布丁餡裡面有蛋和奶，是細菌的最愛！煮好之後一定要趕快冰起來，不能放在外面太久。,布丁保存
[丙級學科題庫] 烘焙食品,工作項目 06：食品之貯存,6,香蕉貯存最合適之溫度為？,－5℃～0℃,10℃～15℃,20℃～30℃,30℃以上,2,水果貯存,香蕉很怕冷！如果放進冰箱會變黑（感冒），放在 10 到 15 度的陰涼處最剛好。,香蕉特性
[丙級學科題庫] 烘焙食品,工作項目 06：食品之貯存,7,木瓜貯存最合適之溫度為？,－5℃～0℃,7℃～10℃,30℃～35℃,35℃,2,冷藏溫度,木瓜也喜歡涼涼的環境，大約 7 到 10 度最能保持它的新鮮美味。,木瓜保存
[丙級學科題庫] 烘焙食品,工作項目 06：食品之貯存,8,製造奶粉及蛋白粉的乾燥脫水方式一般採用？,箱式乾燥法,鼓式乾燥法,噴霧乾燥法,隧道乾燥法,3,加工技術,把液體噴成細細的小霧滴，水份就會很快消失變成粉末，這就是製作奶粉的神奇方法！,噴霧乾燥
[丙級學科題庫] 烘焙食品,工作項目 06：食品之貯存,9,焦糖液保存溫度？,0～5℃,6～10℃,11～15℃,16～20℃ 為宜,1,低溫貯存,焦糖液要冰在 0 到 5 度，就像住在冷藏室的最冷那一層，才不會變質。,焦糖保存
[丙級學科題庫] 烘焙食品,工作項目 06：食品之貯存,10,下列何種加工方法可保存最完整之營養成分？,煮沸殺菌,冷凍乾燥,高壓滅菌,煙燻,2,營養保存,冷凍乾燥就像把時間凍結，最能完整保留食物的營養，而且味道都不會變喔！,冷凍乾燥
[丙級學科題庫] 烘焙食品,工作項目 06：食品之貯存,11,酸性食品與低酸性食品之pH 界限為？,3.6,4.6,5.6,6.6,2,食品安全,4.6 是一個神奇的數字，它是酸性跟低酸性食品的分界線，記住它很重要喔！,pH值界限
[丙級學科題庫] 烘焙食品,工作項目 06：食品之貯存,12,低酸性食品之pH 值應？,小於4.6,大於4.6,大於6.0,大於7.0,2,酸鹼控制,低酸性就是「不夠酸」，它的 pH 值會大於 4.6，這時候要特別注意殺菌才安全。,低酸性食品
[丙級學科題庫] 烘焙食品,工作項目 06：食品之貯存,13,肉類貯存最合適之相對濕度為？,50～60％,60～70％,70～80％,80～90％,4,肉類貯存,肉肉喜歡有點濕潤的環境，大約 80% 到 90% 的濕度能讓肉質保持最棒狀態。,相對濕度
[丙級學科題庫] 烘焙食品,工作項目 06：食品之貯存,14,出爐後的蛋糕須冷卻至？,60℃,50℃,40℃,30℃ 以下才可包裝,4,成品包裝,蛋糕剛出爐很燙，要等它涼到跟手心溫度差不多（30度）再包裝，才不會產生水氣發霉。,包裝溫度
[丙級學科題庫] 烘焙食品,工作項目 06：食品之貯存,15,貯存麵粉的最適溫度是？,10～16℃,18～24℃,26～30℃,32～34℃,2,乾倉管理,麵粉喜歡乾爽的地方，大約 18 到 24 度最適合它，不會太熱也不會太冷。,麵粉保存
[丙級學科題庫] 烘焙食品,工作項目 06：食品之貯存,16,香辛料之芳香成分，易於揮發及氧化變質，因此選購香辛料時最好不超過？,3 個月,6 個月,1 年,2 年 以上,1,原料管理,香料就像香水一樣，放太久香味會飛走。最好三個月內就用完，味道最香！,香料期限
[丙級學科題庫] 烘焙食品,工作項目 06：食品之貯存,17,鮮奶品易遭受細菌污染，須經常置於？,0℃以下,1～5℃,15～20℃,25℃以上,2,乳品安全,鮮奶是非常嬌貴的，一定要一直冰在 1 到 5 度的冷藏室，離開冰箱太久就會壞掉。,鮮奶存放
[丙級學科題庫] 烘焙食品,工作項目 06：食品之貯存,18,食品之冷藏，必須保存在？,7℃以下,10℃以下,25℃以下,沒有規定,1,食品安全,冷藏的標準就是 7 度以下，這樣細菌就會變得很懶惰，不敢亂長。,冷藏標準
[丙級學科題庫] 烘焙食品,工作項目 06：食品之貯存,19,無論哪一種新鮮奶油，均須隨時存放於？,1～5℃,10～20℃,21～30℃,31～40℃ 的冰箱,1,油脂存放,鮮奶油不管是哪一種，都絕對不能離開冰箱，1 到 5 度是它最愛的溫度。,鮮奶油
[丙級學科題庫] 烘焙食品,工作項目 06：食品之貯存,20,食品之熱藏，溫度至少應保持在？,40℃,45℃,50℃,65℃,4,熱食保溫,熱熱的食物如果沒吃完要保溫，溫度要維持在 65 度以上，細菌才不敢靠近。,熱藏溫度
[丙級學科題庫] 烘焙食品,工作項目 06：食品之貯存,21,麵粉應貯藏於？,陰涼乾燥,陰涼潮濕,高溫多濕,陽光直射 之處,1,乾倉管理,麵粉最怕濕和熱，一定要放在陰涼、乾燥的地方，它才會乖乖聽話。,麵粉存放
[丙級學科題庫] 烘焙食品,工作項目 06：食品之貯存,22,全胚芽如長時間的貯藏？,蛋白質,維生素,游離脂肪酸,礦物質 的含量會增加,3,品質變化,全胚芽放太久，裡面的油脂會跑出來變成「游離脂肪酸」，味道會變臭臭的喔！,油脂變質
[丙級學科題庫] 烘焙食品,工作項目 06：食品之貯存,23,烘焙食品貯藏條件應選擇？,陰冷、乾燥,高溫、陽光直射,陰冷、潮濕,高溫、潮濕 的地方,1,成品管理,烘焙食品就像我們一樣喜歡乾爽，陰冷、乾燥的地方是它們最好的家。,貯藏條件
[丙級學科題庫] 烘焙食品,工作項目 06：食品之貯存,24,發粉應貯放於？,陰涼乾燥,陰涼潮濕,高溫多濕,低溫潮濕 的地方,1,原料管理,發粉如果碰到濕氣就會失效，所以一定要放在陰涼乾燥的地方鎖好。,發粉保存
[丙級學科題庫] 烘焙食品,工作項目 06：食品之貯存,25,蛋糕容易發黴，常常由於？,出爐後長時間放置於高溫、高濕之環境中,烤焙時間長,蛋糕油脂含量太高,蛋糕糖分含量太高,1,衛生安全,蛋糕如果放在又熱又濕的地方，黴菌就會像長了翅膀一樣飛過來，很快就發霉了。,防黴常識
[丙級學科題庫] 烘焙食品,工作項目 06：食品之貯存,26,下列奶製品最具貯藏性的是？,奶粉,鮮奶,奶水,冰淇淋,1,保存性,奶粉把水都趕跑了，所以它可以放最久，是所有奶製品裡面最耐放的。,奶粉貯藏
[丙級學科題庫] 烘焙食品,工作項目 06：食品之貯存,27,未開封的乾酵母（即發酵母）貯存於21℃（70℉）可以保存？,3 個月,6 個月,2 年,永久,3,原料期限,未開封的乾酵母很耐放，在涼爽的地方可以保存到兩年之久喔！,酵母保存
[丙級學科題庫] 烘焙食品,工作項目 06：食品之貯存,28,下列何項可促進黴菌繁殖生長？,水分高,水分低,蛋白質高,油脂含量高,1,防黴常識,黴菌最喜歡喝水了！水份越高的地方，黴菌長得就越開心，所以一定要保持乾燥。,水分影響
